id,recipe_id,ingredient_id,quantity,unit_key
1,1,1.0,33.875000,7
2,1,2.0,1.000000,13
3,1,3.0,2.000000,1
4,1,4.0,1.000000,1
5,1,5.0,2.500000,15
6,1,6.0,0.500000,3
7,2,7.0,12.000000,7
8,3,,3.000000,7
9,4,8.0,6.250000,7
10,4,9.0,100.000000,5
11,5,10.0,0.500000,3
12,5,,2.750000,15
13,5,,1.000000,3
14,5,,0.330000,3
15,5,11.0,11.500000,7
16,6,12.0,20.000000,7
17,6,13.0,2.000000,3
18,6,14.0,3.250000,13
19,6,15.0,3.250000,15
20,6,16.0,2.000000,15
21,6,17.0,2.000000,3
22,6,18.0,50.000000,5
23,7,,1.500000,15
24,7,19.0,3.000000,3
25,7,20.0,3.250000,1
26,7,21.0,1.670000,3
27,7,22.0,2.000000,2
28,7,,2.000000,2
29,7,23.0,1.500000,3
30,7,,1.000000,3
31,7,24.0,1.500000,15
32,7,25.0,4.250000,15
33,8,,1.750000,15
34,8,26.0,2.330000,2
35,8,,1.670000,2
36,8,,1.500000,15
37,8,27.0,10.750000,3
38,8,28.0,2.000000,2
39,8,,3.500000,15
40,9,,1.500000,3
41,9,,1.500000,3
42,9,,3.330000,3
43,9,,6.500000,3
44,9,,4.750000,15
45,9,29.0,0.250000,3
46,9,,1.670000,2
47,9,,1.670000,2
48,9,,2.000000,2
49,9,,2.000000,1
50,9,,1.500000,15
51,9,,1.500000,6
52,9,,3.000000,2
53,9,,0.250000,3
54,9,,0.500000,3
55,10,,1.250000,15
56,10,,3.330000,3
57,10,,2.000000,2
58,10,,3.000000,15
59,10,30.0,1.000000,15
60,10,,1.000000,7
61,11,,5.000000,7
62,11,,0.500000,3
63,11,,9.000000,2
64,11,31.0,5.500000,6
65,11,,2.670000,2
66,11,,2.125000,3
67,11,32.0,2.670000,2
68,11,,2.000000,15
69,12,,2.750000,7
70,12,,3.670000,2
71,12,,3.000000,2
72,12,,2.125000,3
73,12,,2.500000,15
74,13,33.0,9.000000,7
75,13,,2.330000,2
76,13,34.0,6.330000,2
77,13,,1.000000,7
78,13,35.0,0.250000,3
79,13,,2.000000,3
80,13,,1.000000,13
81,13,,1.000000,7
82,14,,1.000000,7
83,14,36.0,1.750000,7
84,14,37.0,13.500000,15
85,14,38.0,2.250000,3
86,14,,1.750000,3
87,14,39.0,0.750000,3
88,15,,6.000000,7
89,15,,1.250000,7
90,15,40.0,1.500000,7
91,15,,6.000000,2
92,15,41.0,1.000000,3
93,15,42.0,0.500000,1
94,15,43.0,1.000000,2
95,15,,2.330000,2
96,15,44.0,1.500000,1
97,15,45.0,1.250000,1
98,15,46.0,2.000000,1
99,15,,1.000000,2
100,15,47.0,5.812500,7
101,15,,1.000000,13
102,15,48.0,6.000000,6
103,16,49.0,18.000000,7
104,16,50.0,9.000000,7
105,16,,3.000000,7
106,16,,1.000000,7
107,16,,3.000000,3
108,17,,6.000000,7
109,17,,3.000000,7
110,17,,1.125000,3
111,17,51.0,1.670000,2
112,17,,0.500000,6
113,17,52.0,0.500000,6
114,17,53.0,4.500000,13
115,17,,2.000000,3
116,18,54.0,1.125000,7
117,18,,0.250000,3
118,18,55.0,4.687500,7
119,18,,2.500000,3
120,18,56.0,1.000000,2
121,18,57.0,24.250000,7
122,18,58.0,8.000000,6
123,18,59.0,0.500000,3
124,18,,8.000000,6
125,19,,12.000000,6
126,19,60.0,0.250000,3
127,19,,1.000000,7
128,19,61.0,12.000000,7
129,19,62.0,0.750000,1
130,19,,2.500000,15
131,19,63.0,4.500000,15
132,20,,8.000000,7
133,20,,2.000000,7
134,20,,2.000000,2
135,20,,1.000000,2
136,21,,3.000000,7
137,21,,1.500000,3
138,21,,16.000000,7
139,21,,1.000000,15
140,21,,0.750000,1
141,22,64.0,21.000000,7
142,22,65.0,4.000000,6
143,22,,1.000000,2
144,22,66.0,2.000000,7
145,22,,1.000000,7
146,22,67.0,2.000000,2
147,22,,1.000000,7
148,23,68.0,8.000000,7
149,23,,6.000000,2
150,23,,3.000000,3
151,23,69.0,6.375000,7
152,23,,1.000000,7
153,23,,2.000000,2
154,23,70.0,0.500000,1
155,23,,1.000000,1
156,24,71.0,7.000000,7
157,24,,3.250000,7
158,24,,3.750000,13
159,24,,3.125000,3
160,24,,2.000000,7
161,24,,2.000000,2
162,25,72.0,25.000000,7
163,25,73.0,3.125000,7
164,25,74.0,2.625000,7
165,25,75.0,2.000000,7
166,25,,6.500000,6
167,25,,7.500000,3
168,25,76.0,2.000000,7
169,25,,3.000000,7
170,25,,4.670000,2
171,25,,1.000000,2
172,25,,2.000000,3
173,26,77.0,25.000000,7
174,27,78.0,32.800000,7
175,27,,1.250000,13
176,27,79.0,30.000000,7
177,28,,2.500000,3
178,28,80.0,1.500000,15
179,28,,1.750000,15
180,28,,1.750000,15
181,28,,3.250000,3
182,28,,3.000000,2
183,28,,1.000000,3
184,28,,1.000000,2
185,28,,1.000000,7
186,28,,3.000000,3
187,28,,5.330000,2
188,28,,1.000000,2
189,29,81.0,2.500000,7
190,29,,1.000000,2
191,29,,2.250000,15
192,29,82.0,16.875000,7
193,29,83.0,1.500000,7
194,29,,6.500000,6
195,29,,4.670000,2
196,29,,1.000000,2
197,29,84.0,3.900000,7
198,29,85.0,3.125000,7
199,30,,13.500000,7
200,30,,1.000000,7
201,30,,1.500000,7
202,30,86.0,2.330000,6
203,30,,3.000000,2
204,30,,1.000000,2
205,30,,2.250000,7
206,30,,10.500000,15
207,30,,2.000000,2
208,31,87.0,5.890000,7
209,31,88.0,18.750000,7
210,31,,1.250000,7
211,31,,3.250000,6
212,31,,3.750000,3
213,31,,10.000000,6
214,31,,2.500000,7
215,31,,3.000000,6
216,31,89.0,6.250000,7
217,32,,1.000000,2
218,32,,12.000000,6
219,32,,3.750000,15
220,32,90.0,2.670000,3
221,32,,0.250000,3
222,32,,1.670000,2
223,32,,1.000000,1
224,32,,2.000000,1
225,32,91.0,2.000000,2
226,32,,0.750000,1
227,32,,2.000000,2
228,33,,1.750000,6
229,33,,1.875000,3
230,33,,1.500000,7
231,33,92.0,25.000000,7
232,33,,2.750000,7
233,33,,2.750000,7
234,33,,6.000000,2
235,33,,1.000000,2
236,33,,33.300000,2
237,34,93.0,30.000000,7
238,34,,1.500000,3
239,34,,1.000000,13
240,34,,3.500000,3
241,34,94.0,2.000000,3
242,34,,0.250000,3
243,34,,1.330000,2
244,34,,5.670000,1
245,34,95.0,1.000000,3
246,34,,1.000000,15
247,34,96.0,8.000000,7
248,34,,2.687500,7
